,node,type
433,http://www.wikidata.org/entity/Q90605392,human
434,http://www.wikidata.org/entity/Q64779789,human
435,http://www.wikidata.org/entity/Q64740249,human
436,http://www.wikidata.org/entity/Q43389412,human
437,http://www.wikidata.org/entity/Q56856694,human
438,http://www.wikidata.org/entity/Q56702135,human
439,http://www.wikidata.org/entity/Q75076046,human
440,http://www.wikidata.org/entity/Q102157533,human
441,http://www.wikidata.org/entity/Q65673977,human
442,http://www.wikidata.org/entity/Q106828773,human
443,http://www.wikidata.org/entity/Q106530276,human
444,http://www.wikidata.org/entity/Q66622353,human
445,http://www.wikidata.org/entity/Q83676585,human
446,http://www.wikidata.org/entity/Q88386281,human
447,http://www.wikidata.org/entity/Q77361373,human
448,http://www.wikidata.org/entity/Q95920109,human
449,http://www.wikidata.org/entity/Q90817207,human
450,http://www.wikidata.org/entity/Q99772980,human
451,http://www.wikidata.org/entity/Q104531006,human
452,http://www.wikidata.org/entity/Q60835028,human
453,http://www.wikidata.org/entity/Q63166983,human
454,http://www.wikidata.org/entity/Q90150157,human
455,http://www.wikidata.org/entity/Q93643554,human
456,http://www.wikidata.org/entity/Q96039138,human
457,http://www.wikidata.org/entity/Q55973808,human
458,http://www.wikidata.org/entity/Q108405335,human
459,http://www.wikidata.org/entity/Q96781248,human
460,http://www.wikidata.org/entity/Q30942417,human
461,http://www.wikidata.org/entity/Q105639377,human
462,http://www.wikidata.org/entity/Q105573780,human
463,http://www.wikidata.org/entity/Q107463401,human
464,http://www.wikidata.org/entity/Q106568002,human
465,http://www.wikidata.org/entity/Q107707824,human
466,http://www.wikidata.org/entity/Q106085594,human
467,http://www.wikidata.org/entity/Q104696642,human
468,http://www.wikidata.org/entity/Q106435279,human
469,http://www.wikidata.org/entity/Q106087624,human
470,http://www.wikidata.org/entity/Q105705941,human
471,http://www.wikidata.org/entity/Q60713364,human
472,http://www.wikidata.org/entity/Q59652449,human
473,http://www.wikidata.org/entity/Q60339195,human
474,http://www.wikidata.org/entity/Q56162433,human
475,http://www.wikidata.org/entity/Q6581097,wikidata entity
476,http://www.wikidata.org/entity/Q13100345,wikidata entity
477,http://www.wikidata.org/entity/Q27908372,wikidata entity
478,Raymond Chan Chi-cheun,not wikidata
479,China siyaasa nira ŋun nyɛ doo,not wikidata
480,Raymond Chan Chi-chuen,not wikidata
481,programledare och politiker från Hongkong,not wikidata
482,actor a aned yn 1972,not wikidata
483,http://www.wikidata.org/entity/Q592,wikidata entity
484,http://www.wikidata.org/entity/Q748,wikidata entity
485,http://www.wikidata.org/entity/Q15570,wikidata entity
486,http://www.wikidata.org/entity/Q5,wikidata entity
487,http://www.wikidata.org/entity/Q148,wikidata entity
488,http://www.wikidata.org/entity/Q33999,wikidata entity
489,36,not wikidata
490,11,not wikidata
491,9,not wikidata
492,Chinees politicus,not wikidata
493,http://commons.wikimedia.org/wiki/Special:FilePath/Chan%20Chi-chuen.jpg,not wikidata
494,http://www.wikidata.org/entity/statement/Q26668-C42E3E59-68C1-4248-9A0D-E707CBAF8492,wikidata entity
495,http://www.wikidata.org/entity/statement/Q26668-ad4b2e84-4446-0e32-d84d-02fdb238e4e2,wikidata entity
496,http://www.wikidata.org/entity/statement/Q26668-03A39B2C-72F5-4B2F-B0A0-73BF984BB878,wikidata entity
497,http://www.wikidata.org/entity/statement/Q26668-079e02eb-4a24-0165-6d8d-c94f803f8258,wikidata entity
498,http://www.wikidata.org/entity/statement/Q26668-5D28C9AD-0E5F-4496-8F65-1A808AAC2E55,wikidata entity
499,http://www.wikidata.org/entity/statement/Q26668-9D3F4630-A861-4B65-ADED-5E2602B0E5C0,wikidata entity
500,http://www.wikidata.org/entity/statement/Q26668-0d67a584-46be-cff7-96a7-19daacffca7e,wikidata entity
501,http://www.wikidata.org/entity/statement/Q26668-9f49a78f-456f-ca66-0e84-d6d47b9ada50,wikidata entity
502,راي تشان,not wikidata
503,راى تشان,not wikidata
504,políticu ḥongkonés,not wikidata
505,polític hongkonguès,not wikidata
506,Politiker in Hongkong,not wikidata
507,Ray Chan,not wikidata
508,Chan Chi-chuen,not wikidata
509,Chen Zhiquan,not wikidata
510,ޗައިނާއަށް އުފަން އެކްޓަރެއް,not wikidata
511,Hong Kong politician,not wikidata
512,Raymond Chan,not wikidata
513,político de Hong Kong,not wikidata
514,politikari hongkongdarra,not wikidata
515,personnalité politique de Hong-Kong,not wikidata
516,político hongkonés,not wikidata
517,ריימונד צ'ן,not wikidata
518,politico di Hong Kong,not wikidata
519,찬지췬,not wikidata
520,홍콩 정치인,not wikidata
521,레이먼드 찬,not wikidata
522,Рэй Чэнь,not wikidata
523,Trần Chí Toàn,not wikidata
524,慢必,not wikidata
525,陈志全,not wikidata
526,陳志全,not wikidata
527,香港政治人物,not wikidata
528,2023-01-06T18:43:21Z,not wikidata
